,apartmentID,title,room_size,total_rent,rent_updated,premiumstatus,user_name,address,street,postcode,district,suburb,city,available_from,available_until,online_since,rent,utilities,other_costs,deposit,transfer_agreement_cost,apartment_size,max_roommate,roommate_age,languages,wg_type,smoking_policy,preferred_gender_age,wg_detail1,wg_detail2,house_type,floor,parking_situation,public_transport_reach,furnitured,garden,balcony,electricity_eco_friendly,heating,internet,bathroom,ground_material,object_detail1,object_detail2,required_document1,required_document2,required_document3
0,9754397,Privatzimmer zu Übernachtung,15.0,35.0,35.0,False,,Sterndamm12487 Berlin Johannisthal,Sterndamm,12487.0,Treptow-Köpenick,Johannisthal,Berlin,29.12.2023,31.01.2024,2023-12-30,30€,5€,n.a.,0€,0€,65.0,3.0,bis 60 Jahre,"Arabisch, Deutsch, Englisch, Türkisch","Zweck-WG, Studenten-WG, Frauen-WG, Business-WG, Berufstätigen-WG, Azubi-WG, keine Zweck-WG, gemischte WG, Mehrgenerationen, Vegetarisch/Vegan, Internationals welcome",Rauchen nicht erwünscht,Geschlecht egal zwischen 16 und 60 Jahren,15m² Zimmer in 3er WG,3er WG ( 1 Frau und 1 Mann ),Altbau,3. OG,,2 Minuten zu Fuß entfernt,,False,False,False,Zentralheizung,,"Badewanne, Dusche",Teppich,"Waschmaschine, Spülmaschine, Keller, Fahrradkeller",,,,
1,10638037,Private room für Übernachtung/overnight stay,15.0,40.0,200.0,False,,sterndamm12487 Berlin Johannisthal,sterndamm,12487.0,Treptow-Köpenick,Johannisthal,Berlin,29.12.2023,04.01.2024,2023-12-30,40€,0€,0€,n.a.,0€,60.0,3.0,25 bis 28 Jahre,,"Zweck-WG, Studenten-WG, Frauen-WG, Männer-WG, Business-WG, Wohnheim, Berufstätigen-WG, Azubi-WG, WG mit Kindern, Verbindung, keine Zweck-WG, gemischte WG, Plus-WG, Mehrgenerationen, Vegetarisch/Vegan, LGBTQIA+, Wohnen für Hilfe, Alleinerziehende, Internationals welcome, inklusive WG, funktionale WG, WG-Neugründung",,Geschlecht egal zwischen 15 und 90 Jahren,15m² Zimmer in 3er WG,3er WG ( 1 Frau und 1 Mann ),Altbau,3. OG,,3 Minuten zu Fuß entfernt,,False,False,False,,,,,gute Parkmöglichkeiten,,,,
2,10716109,WG-Zimmer (befristet),20.0,550.0,550.0,False,,Trützschlerstraße12487 Berlin Johannisthal,Trützschlerstraße,12487.0,Treptow-Köpenick,Johannisthal,Berlin,01.02.2024,31.05.2024,2023-12-26,500€,50€,n.a.,550€,n.a.,66.0,2.0,18 bis 28 Jahre,,"Studenten-WG, keine Zweck-WG",,Geschlecht egal,20m² Zimmer in 2er WG,2er WG ( 1 Frau ),Altbau,2. OG,,,möbliert,False,True,False,,,Badewanne,,,,,,
3,10703785,room in 2-room apartment,35.0,400.0,428.5714285714286,False,,Sterndamm 97A12487 Berlin Johannisthal,Sterndamm 97A,12487.0,Treptow-Köpenick,Johannisthal,Berlin,08.01.2024,05.02.2024,2023-12-14,400€,n.a.,n.a.,100€,n.a.,,2.0,18 bis 30 Jahre,"Russisch, Englisch",Frauen-WG,Rauchen nicht erwünscht,Frau zwischen 18 und 30 Jahren,35m² Zimmer in 2er WG,2er WG ( 1 Frau ),sanierter Altbau,3. OG,,5 Minuten zu Fuß entfernt,möbliert,False,False,False,,,Dusche,,Haustiere erlaubt,,,,
4,9736095,Zimmer nähe Uni Adlershof,13.0,470.0,470.0,False,,Bohnsdorfer Kirchsteig12526 Berlin Bohnsdorf,Bohnsdorfer Kirchsteig,12526.0,Treptow-Köpenick,Bohnsdorf,Berlin,01.03.2024,30.06.2024,2023-12-12,470€,n.a.,n.a.,470€,n.a.,180.0,2.0,56 bis 56 Jahre,"Deutsch, Englisch","Zweck-WG, Frauen-WG, Berufstätigen-WG, keine Zweck-WG",Rauchen auf dem Balkon erlaubt,Frau zwischen 30 und 60 Jahren,13m² Zimmer in 2er WG,2er WG ( 1 Frau ),Einfamilienhaus,1. OG,,10 Minuten zu Fuß entfernt,möbliert,True,False,False,Gasheizung,,Badewanne,Laminat,gute Parkmöglichkeiten,,Einkommensnachweis,,
5,10699987,"Wohnung mit Balkon zu vermieten, ruhige und schöne Gegend in Grünau!",56.0,1100.0,1100.0,False,,Libboldallee 1512527 Berlin Grünau,Libboldallee 15,12527.0,Treptow-Köpenick,Grünau,Berlin,01.01.2024,01.02.2024,2023-12-12,950€,150€,n.a.,2000€,n.a.,,,,,,,,,,,,,,möbliert,False,True,False,Zentralheizung,,"Badewanne, Dusche",Dielen,Barrierefrei,,Selbstauskunft,SCHUFA,Einkommensnachweis
6,10624266,"Gemütliche, helle Oase ZWISCHENMIETE (January - March 2024)",30.0,750.0,750.0,False,,Schlierseestr. 0912527 Berlin Grünau,Schlierseestr. 09,12527.0,Treptow-Köpenick,Grünau,Berlin,23.01.2024,17.03.2024,2023-11-09,700€,50€,n.a.,n.a.,n.a.,70.0,2.0,26 bis 28 Jahre,"Deutsch, Englisch, Spanisch","Studenten-WG, Frauen-WG, Berufstätigen-WG, keine Zweck-WG, gemischte WG",Rauchen auf dem Balkon erlaubt,Geschlecht egal,30m² Zimmer in 2er WG,2er WG ( 1 Frau ),sanierter Altbau,3. OG,,4 Minuten zu Fuß entfernt,möbliert,True,False,True,Zentralheizung,,Badewanne,Laminat,gute Parkmöglichkeiten,,SCHUFA,,
7,10548010,Zimmer nahe Flughafen Schönefeld,16.0,470.0,470.0,False,,Bohnsdorfer Kirchsteig12526 Berlin Bohnsdorf,Bohnsdorfer Kirchsteig,12526.0,Treptow-Köpenick,Bohnsdorf,Berlin,01.01.2024,30.04.2024,2023-10-28,470€,n.a.,n.a.,470€,n.a.,200.0,2.0,ab 56 Jahre,"Deutsch, Englisch","Zweck-WG, Frauen-WG, Berufstätigen-WG, keine Zweck-WG",Rauchen auf dem Balkon erlaubt,Frau zwischen 30 und 60 Jahren,16m² Zimmer in 2er WG,2er WG ( 1 Frau ),Einfamilienhaus,1. OG,,10 Minuten zu Fuß entfernt,möbliert,True,False,False,Gasheizung,,Badewanne,Laminat,gute Parkmöglichkeiten,,Einkommensnachweis,,
8,10483999,WG in Großzügigem Haus mit Garten und Terrasse,13.0,800.0,800.0,False,,Birkheidering 2412527 Berlin Grünau,Birkheidering 24,12527.0,Treptow-Köpenick,Grünau,Berlin,27.09.2023,,2023-10-23,700€,100€,n.a.,2400€,n.a.,100.0,2.0,29 bis 29 Jahre,"Deutsch, Englisch","Zweck-WG, Studenten-WG, Berufstätigen-WG, keine Zweck-WG",Rauchen nicht erwünscht,Geschlecht egal zwischen 21 und 34 Jahren,13m² Zimmer in 2er WG,2er WG ( 1 Mann ),Doppelhaus,EG,eigener Parkplatz,3 Minuten zu Fuß entfernt,möbliert,True,False,False,,,"Badewanne, Dusche",Laminat,Kabel,,SCHUFA,Einkommensnachweis,
9,8742625,Schönes 20 qm Zimmer in Maisonettenwohnung zu vermieten,45.0,480.0,480.0,False,,Florian-Geyer-Straße 5012489 Berlin Bohnsdorf,Florian-Geyer-Straße 50,12489.0,Treptow-Köpenick,Bohnsdorf,Berlin,01.07.2021,,2022-02-05,430€,50€,n.a.,700€,n.a.,95.0,3.0,,"Deutsch, Englisch","Zweck-WG, Studenten-WG, gemischte WG",,Geschlecht egal,45m² Zimmer in 3er WG,3er WG ( 1 Frau und 1 Mann ),,,,,möbliert,True,False,False,,,,,"Laminat, PVC",,,,
