Bezirk,Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80% der Angebote) von,Spanne der überwiegenden Angebote (80% der Angebote) bis
Mitte,9.36,6.33,14.45
Friedrichshain-Kreuzberg,9.98,7.41,13.5
Pankow,8.99,6.58,12.0
Charlottenburg-Wilmersdorf,9.49,7.1,13.33
Spandau,6.58,5.2,8.05
Steglitz-Zehlendorf,8.5,6.67,11.0
Tempelhof-Schöneberg,8.01,6.2,10.68
Neukölln,7.73,5.98,10.35
Treptow-Köpenick,7.12,5.9,9.41
Marzahn-Hellersdorf,5.8,4.91,8.0
Lichtenberg,7.5,5.8,9.5
Reinickendorf,6.92,5.62,8.91
Berlin insgesamt,8.25,5.98,12.0
