Bezirk,Angebotsmieten 2021 Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80% der Angebote) von,Spanne der überwiegenden Angebote (80% der Angebote) bis
Mitte,14.0,7.13,23.2
Friedrichshain-Kreuzberg,13.52,7.06,21.0
Pankow,11.73,8.0,19.74
Charlottenburg-Wilmersdorf,13.29,7.49,21.16
Spandau,8.22,5.95,12.82
Steglitz-Zehlendorf,11.03,7.47,16.89
Tempelhof-Schöneberg,10.22,6.65,17.8
Neukölln,9.85,6.44,17.24
Treptow-Köpenick,11.0,6.77,16.5
Marzahn-Hellersdorf,8.26,6.0,12.5
Lichtenberg,8.5,5.95,14.16
Reinickendorf,8.99,6.08,15.25
Berlin insgesamt,10.55,6.45,18.78
