Bezirk,Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80 %) von,Spanne der überwiegenden Angebote (80 %) bis
Mitte,15.46,7.13,25.15
Friedrichshain-Kreuzberg,14.85,6.67,23.53
Pankow,12.5,6.82,21.53
Charlottenburg-Wilmersdorf,15.0,7.93,24.01
Spandau,8.67,6.06,15.9
Steglitz-Zehlendorf,12.31,7.93,19.28
Tempelhof-Schöneberg,11.31,6.64,19.82
Neukölln,10.55,6.69,19.79
Treptow-Köpenick,11.6,6.88,18.02
Marzahn-Hellersdorf,9.29,5.74,13.64
Lichtenberg,10.45,6.06,19.43
Reinickendorf,9.66,5.97,16.49
Berlin insgesamt,11.54,6.5,20.8
