District,Suburbs,Max Results
Treptow-Köpenick,"[('Baumschulenweg', 116), ('Altglienicke', 115)]",25
Treptow-Köpenick,"[('Friedrichshagen', 131), ('Grünau', 135), ('Oberschöneweide', 169), ('Köpenick', 150)]",86
Treptow-Köpenick,"[('Johannisthal', 143)]",8
Treptow-Köpenick,"[('Treptow', 185), ('Niederschöneweide', 166)]",47
Treptow-Köpenick,"[('Plänterwald', 85089), ('Schöneberg', 178), ('Hessenwinkel', 141), ('Bohnsdorf', 120)]",187
Treptow-Köpenick,"[('Müggelheim', 164)]",7
Treptow-Köpenick,"[('Adlershof', 114), ('Rahnsdorf', 172), ('Wilhelmshagen', 191), ('Karolinenhof', 145)]",34
Lichtenberg,"[('Friedrichsfelde', 130), ('Wartenberg', 188), ('Rummelsburg', 85090)]",30
Lichtenberg,"[('Lichtenberg', 153), ('Hohenschönhausen', 142), ('Malchow', 158), ('Falkenberg', 128)]",0
Lichtenberg,"[('Lichtenberg', 153), ('Hohenschönhausen', 142), ('Malchow', 158), ('Falkenberg', 128)]",0
Lichtenberg,"[('Lichtenberg', 153), ('Hohenschönhausen', 142), ('Malchow', 158), ('Falkenberg', 128)]",0
Lichtenberg,"[('Lichtenberg', 153), ('Hohenschönhausen', 142), ('Malchow', 158), ('Falkenberg', 128)]",0
Lichtenberg,"[('Lichtenberg', 153), ('Hohenschönhausen', 142), ('Malchow', 158), ('Falkenberg', 128)]",0
Lichtenberg,"[('Lichtenberg', 153), ('Hohenschönhausen', 142), ('Malchow', 158), ('Falkenberg', 128)]",0
Lichtenberg,"[('Lichtenberg', 153), ('Hohenschönhausen', 142), ('Malchow', 158), ('Falkenberg', 128)]",0
Lichtenberg,"[('Lichtenberg', 153), ('Hohenschönhausen', 142), ('Malchow', 158), ('Falkenberg', 128)]",0
Lichtenberg,"[('Lichtenberg', 153), ('Hohenschönhausen', 142), ('Malchow', 158), ('Falkenberg', 128)]",124
Lichtenberg,"[('Alt-Hohenschönhausen', 85076), ('Karlshorst', 144)]",42
Lichtenberg,"[('Neu-Hohenschönhausen', 85087)]",9
Marzahn-Hellersdorf,"[('Kaulsdorf', 147), ('Marzahn-Hellersdorf', 85085)]",19
Marzahn-Hellersdorf,"[('Mahlsdorf', 157), ('Hellersdorf', 139), ('Biesdorf', 117)]",28
Marzahn-Hellersdorf,"[('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Marzahn', 162)]",15
Pankow,"[('Weißensee', 190), ('Rosenthal', 174), ('Pankow', 170), ('Steglitz', 181)]",177
Pankow,"[('Buch', 123)]",12
